company,name,price,rating,review
Okaya,"OKAYA Faast F3 Booking for Ex-Showroom Price (with Portable Charger, Metallic Silver)","₹1,24,990",3.7,3 Ratings & 0 Reviews
Okaya,"OKAYA Faast F2F Booking for Ex-Showroom Price (with Portable Charger, Black)","₹93,999",4,4 Ratings & 0 Reviews
Okaya,"OKAYA Freedum LI-2 Booking for Ex-Showroom Price (with Portable Charger, Metallic Black)","₹74,899",3.8,223 Ratings & 28 Reviews
Okaya,"OKAYA Faast F2F Booking for Ex-Showroom Price (with Portable Charger, Cyan)","₹93,999",4,4 Ratings & 0 Reviews
Okaya,"OKAYA Faast F2F Booking for Ex-Showroom Price (with Portable Charger, Green)","₹93,999",4,4 Ratings & 0 Reviews
Okaya,"OKAYA Faast F2B Booking for Ex-Showroom Price (with Portable Charger, Matte Green)","₹99,950",4.1,37 Ratings & 12 Reviews
Okaya,"OKAYA Faast F2B Booking for Ex-Showroom Price (with Portable Charger, Metallic Cyan)","₹99,950",4.1,37 Ratings & 12 Reviews
Okaya,"OKAYA Faast F2B Booking for Ex-Showroom Price (with Portable Charger, White)","₹99,950",4.1,37 Ratings & 12 Reviews
Okaya,"OKAYA Freedum LI-2 Booking for Ex-Showroom Price (with Portable Charger, Metallic Silver)","₹74,899",3.8,223 Ratings & 28 Reviews
Okaya,"OKAYA ClassIQ Booking for Ex-Showroom Price (with Portable Charger, Metallic Silver)","₹74,499",3.6,21 Ratings & 5 Reviews
Okaya,"OKAYA Faast F2B Booking for Ex-Showroom Price (with Portable Charger, Metallic Black)","₹99,950",4.1,37 Ratings & 12 Reviews
Vida,"VIDA Powered by Hero V1 Pro Booking for Ex-Showroom Price (with Portable Charger, Red)","₹1,45,900",4.4,528 Ratings & 84 Reviews
Vida,"VIDA Powered by Hero V1 Pro Booking for Ex-Showroom Price (with Portable Charger, Orange)","₹1,45,900",4.4,528 Ratings & 84 Reviews
Vida,"VIDA Powered by Hero V1 Plus Booking for Ex-Showroom Price (with Portable Charger, Red)","₹1,45,000",4,16 Ratings & 1 Reviews
Vida,"VIDA Powered by Hero V1 Pro Booking for Ex-Showroom Price (with Portable Charger, Black)","₹1,45,900",4.4,528 Ratings & 84 Reviews
Vida,"VIDA Powered by Hero V1 Plus Booking for Ex-Showroom Price (with Portable Charger, Orange)","₹1,45,000",4,16 Ratings & 1 Reviews
Vida,"VIDA Powered by Hero V1 Plus Booking for Ex-Showroom Price (with Portable Charger, White)","₹1,45,000",4,16 Ratings & 1 Reviews
Vida,"VIDA Powered by Hero V1 Pro Booking for Ex-Showroom Price (with Portable Charger, Cyan)","₹1,45,900",4.4,528 Ratings & 84 Reviews
Vida,"VIDA Powered by Hero V1 Pro Booking for Ex-Showroom Price (with Portable Charger, White)","₹1,45,900",4.4,528 Ratings & 84 Reviews
